Ref_Date,GEO,Geographical classification,DON,Vector,Coordinate,Value
2011,"St. John's, Newfoundland and Labrador",10001,Provincial index of median total income,v16942777,3.32,123
2012,"St. John's, Newfoundland and Labrador",10001,Provincial index of median total income,v16942777,3.32,123.2
2011,"St. John's, Newfoundland and Labrador",10001,Number of persons reporting employment income and/or Employment Insurance,v16942779,3.34,115260
2012,"St. John's, Newfoundland and Labrador",10001,Number of persons reporting employment income and/or Employment Insurance,v16942779,3.34,116740
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of females reporting employment income and/or Employment Insurance,v16942780,3.35,50
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of females reporting employment income and/or Employment Insurance,v16942780,3.35,49
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of persons with labour income receiving Employment Insurance,v16942781,3.36,17
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of persons with labour income receiving Employment Insurance,v16942781,3.36,16
2011,"St. John's, Newfoundland and Labrador",10001,"Median employment income, males (dollars)",v16942782,3.37,40930
2012,"St. John's, Newfoundland and Labrador",10001,"Median employment income, males (dollars)",v16942782,3.37,44120
2011,"St. John's, Newfoundland and Labrador",10001,"Median employment income, females (dollars)",v16942783,3.38,29280
2012,"St. John's, Newfoundland and Labrador",10001,"Median employment income, females (dollars)",v16942783,3.38,30760
2011,"St. John's, Newfoundland and Labrador",10001,"Median employment income, both sexes (dollars)",v16942784,3.39,35070
2012,"St. John's, Newfoundland and Labrador",10001,"Median employment income, both sexes (dollars)",v16942784,3.39,37210
2011,"St. John's, Newfoundland and Labrador",10001,Number of persons reporting Canada Child Tax Benefits,v16942785,3.4,21180
2012,"St. John's, Newfoundland and Labrador",10001,Number of persons reporting Canada Child Tax Benefits,v16942785,3.4,20890
2011,"St. John's, Newfoundland and Labrador",10001,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942786,3.41,63075
2012,"St. John's, Newfoundland and Labrador",10001,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942786,3.41,64180
2011,"Bay Roberts, Newfoundland and Labrador",10005,Number of taxfilers,v61485208,49.1,8990
2012,"Bay Roberts, Newfoundland and Labrador",10005,Number of taxfilers,v61485208,49.1,9040
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 0 to 24 years,v61485209,49.3,11
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 0 to 24 years,v61485209,49.3,11
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 25 to 44 years,v61485210,49.4,31
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 25 to 44 years,v61485210,49.4,30
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 45 to 64 years,v61485211,49.5,38
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 45 to 64 years,v61485211,49.5,38
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 65 years and over,v61485212,49.6,20
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers aged 65 years and over,v61485212,49.6,21
2011,"Bay Roberts, Newfoundland and Labrador",10005,Average age of taxfilers (years),v61485213,49.7,49
2012,"Bay Roberts, Newfoundland and Labrador",10005,Average age of taxfilers (years),v61485213,49.7,49
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of taxfilers, female",v61485214,49.8,51
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of taxfilers, female",v61485214,49.8,51
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of taxfilers, married",v61485215,49.9,59
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of taxfilers, married",v61485215,49.9,59
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers in apartments,v61485216,49.1,x
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of taxfilers in apartments,v61485216,49.1,x
2011,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons,v61485217,49.11,11190
2012,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons,v61485217,49.11,11220
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 0 to 24 years,v61485218,49.13,28
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 0 to 24 years,v61485218,49.13,28
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 25 to 44 years,v61485219,49.14,25
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 25 to 44 years,v61485219,49.14,25
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 45 to 64 years,v61485220,49.15,31
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 45 to 64 years,v61485220,49.15,31
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 65 years and over,v61485221,49.16,16
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons aged 65 years and over,v61485221,49.16,17
2011,"Bay Roberts, Newfoundland and Labrador",10005,Average age of persons (years),v61485222,49.17,41
2012,"Bay Roberts, Newfoundland and Labrador",10005,Average age of persons (years),v61485222,49.17,41
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons, female",v61485223,49.18,51
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons, female",v61485223,49.18,51
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons, married",v61485224,49.19,48
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons, married",v61485224,49.19,48
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons in apartments,v61485225,49.2,x
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons in apartments,v61485225,49.2,x
2011,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons with total income,v61485226,49.21,8880
2012,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons with total income,v61485226,49.21,8940
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $15,000 and over",v61485227,49.22,73
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $15,000 and over",v61485227,49.22,75
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $25,000 and over",v61485228,49.23,49
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $25,000 and over",v61485228,49.23,52
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $35,000 and over",v61485229,49.24,35
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $35,000 and over",v61485229,49.24,37
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $50,000 and over",v61485230,49.25,21
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $50,000 and over",v61485230,49.25,23
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $75,000 and over",v61485231,49.26,10
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $75,000 and over",v61485231,49.26,12
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $100,000 and over",v61485232,49.27,4
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Percentage of persons with total income $100,000 and over",v61485232,49.27,6
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Median total income, males (dollars)",v61485233,49.28,33390
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Median total income, males (dollars)",v61485233,49.28,35840
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Median total income, females (dollars)",v61485234,49.29,19130
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Median total income, females (dollars)",v61485234,49.29,19990
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Median total income, both sexes (dollars)",v61485235,49.3,24700
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Median total income, both sexes (dollars)",v61485235,49.3,26120
2011,"Bay Roberts, Newfoundland and Labrador",10005,Canadian index of median total income,v61485236,49.31,81.8
2012,"Bay Roberts, Newfoundland and Labrador",10005,Canadian index of median total income,v61485236,49.31,83.4
2011,"Bay Roberts, Newfoundland and Labrador",10005,Provincial index of median total income,v61485237,49.32,90.9
2012,"Bay Roberts, Newfoundland and Labrador",10005,Provincial index of median total income,v61485237,49.32,91.4
2011,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons reporting employment income and/or Employment Insurance,v61485238,49.34,6010
2012,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons reporting employment income and/or Employment Insurance,v61485238,49.34,6010
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of females reporting employment income and/or Employment Insurance,v61485239,49.35,47
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of females reporting employment income and/or Employment Insurance,v61485239,49.35,47
2011,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons with labour income receiving Employment Insurance,v61485240,49.36,40
2012,"Bay Roberts, Newfoundland and Labrador",10005,Percentage of persons with labour income receiving Employment Insurance,v61485240,49.36,39
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Median employment income, males (dollars)",v61485241,49.37,33450
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Median employment income, males (dollars)",v61485241,49.37,37140
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Median employment income, females (dollars)",v61485242,49.38,18220
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Median employment income, females (dollars)",v61485242,49.38,19050
2011,"Bay Roberts, Newfoundland and Labrador",10005,"Median employment income, both sexes (dollars)",v61485243,49.39,24000
2012,"Bay Roberts, Newfoundland and Labrador",10005,"Median employment income, both sexes (dollars)",v61485243,49.39,25950
2011,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons reporting Canada Child Tax Benefits,v61485244,49.4,1310
2012,"Bay Roberts, Newfoundland and Labrador",10005,Number of persons reporting Canada Child Tax Benefits,v61485244,49.4,1280
